,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,promedio final,aprobado/reprobado,desempeño,habitos,parental_lv_edu_ord,lunch_ord,test_preparation_ord,condiciones
0,female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,Aprobado,Bajo,Regulares,2,1,0,Regulares
1,female,group C,some college,standard,completed,69,90,88,82.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
2,female,group B,master's degree,standard,none,90,95,93,92.66666666666667,Aprobado,Alto,Regulares,2,1,0,Regulares
3,male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,Reprobado,Bajo,Malos,1,0,0,Regulares
4,male,group C,some college,standard,none,76,78,75,76.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
5,female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,Aprobado,Bajo,Regulares,1,1,0,Regulares
6,female,group B,some college,standard,completed,88,95,92,91.66666666666667,Aprobado,Alto,Buenos,1,1,1,Regulares
7,male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
8,male,group D,high school,free/reduced,completed,64,64,67,65.0,Reprobado,Bajo,Regulares,0,0,1,Regulares
9,female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,Reprobado,Bajo,Malos,0,0,0,Limitantes
10,male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,Reprobado,Bajo,Regulares,1,1,0,Regulares
11,male,group D,associate's degree,standard,none,40,52,43,45.0,Reprobado,Bajo,Regulares,1,1,0,Regulares
12,female,group B,high school,standard,none,65,81,73,73.0,Aprobado,Bajo,Regulares,0,1,0,Regulares
13,male,group A,some college,standard,completed,78,72,70,73.33333333333333,Aprobado,Bajo,Buenos,1,1,1,Regulares
14,female,group A,master's degree,standard,none,50,53,58,53.666666666666664,Reprobado,Bajo,Regulares,2,1,0,Regulares
15,female,group C,some high school,standard,none,69,75,78,74.0,Aprobado,Bajo,Regulares,0,1,0,Regulares
16,male,group C,high school,standard,none,88,89,86,87.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
17,female,group B,some high school,free/reduced,none,18,32,28,26.0,Reprobado,Bajo,Malos,0,0,0,Limitantes
18,male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,Reprobado,Bajo,Regulares,2,0,1,Regulares
19,female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,Reprobado,Bajo,Malos,1,0,0,Regulares
20,male,group D,high school,standard,none,66,69,63,66.0,Reprobado,Bajo,Regulares,0,1,0,Regulares
21,female,group B,some college,free/reduced,completed,65,75,70,70.0,Aprobado,Bajo,Regulares,1,0,1,Regulares
22,male,group D,some college,standard,none,44,54,53,50.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
23,female,group C,some high school,standard,none,69,73,73,71.66666666666667,Aprobado,Bajo,Regulares,0,1,0,Regulares
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,75.0,Aprobado,Bajo,Regulares,2,0,1,Regulares
25,male,group A,master's degree,free/reduced,none,73,74,72,73.0,Aprobado,Bajo,Malos,2,0,0,Regulares
26,male,group B,some college,standard,none,69,54,55,59.333333333333336,Reprobado,Bajo,Regulares,1,1,0,Regulares
27,female,group C,bachelor's degree,standard,none,67,69,75,70.33333333333333,Aprobado,Bajo,Regulares,2,1,0,Regulares
28,male,group C,high school,standard,none,70,70,65,68.33333333333333,Reprobado,Bajo,Regulares,0,1,0,Regulares
